energy, number of points
0.103752,21.000000
0.080170,21.000000
0.080064,21.000000
0.079959,21.000000
0.088088,21.000000
0.087978,21.000000
0.087868,21.000000
0.104004,21.000000
0.103884,21.000000
0.103765,21.000000
0.103645,21.000000
0.081254,21.000000
0.081147,21.000000
0.081039,21.000000
0.084086,21.000000
0.083977,21.000000
0.083867,21.000000
0.103221,21.000000
0.103099,21.000000
0.102977,21.000000
0.102856,21.000000
0.082733,21.000000
0.082624,21.000000
0.082516,21.000000
0.080390,21.000000
0.080283,21.000000
0.080176,21.000000
0.101755,21.000000
0.101634,21.000000
0.101514,21.000000
0.084601,21.000000
0.084491,21.000000
0.084382,21.000000
0.084272,21.000000
0.077140,21.000000
0.077035,21.000000
0.076930,21.000000
0.099647,21.000000
0.099528,21.000000
0.099409,21.000000
0.086501,21.000000
0.086390,21.000000
0.086279,21.000000
0.074539,21.000000
0.074436,21.000000
0.074333,21.000000
0.074230,21.000000
0.096949,21.000000
0.096831,21.000000
0.096714,21.000000
0.088387,21.000000
0.088275,21.000000
0.088163,21.000000
0.072451,21.000000
0.072350,21.000000
0.072248,21.000000
0.093868,21.000000
0.093753,21.000000
0.093638,21.000000
0.093524,21.000000
0.090121,21.000000
0.090009,21.000000
0.089897,21.000000
0.071026,21.000000
0.070926,21.000000
0.070826,21.000000
0.090282,21.000000
0.090170,21.000000
0.090057,21.000000
0.091678,21.000000
0.091565,21.000000
0.091452,21.000000
0.070368,21.000000
0.070269,21.000000
0.070170,21.000000
0.070071,21.000000
0.086435,21.000000
0.086326,21.000000
0.086217,21.000000
0.092715,21.000000
0.092602,21.000000
0.092489,21.000000
0.070258,21.000000
0.070160,21.000000
0.030764,21.000000
0.034236,21.000000
0.034180,21.000000
0.034123,21.000000
0.045559,21.000000
0.036488,21.000000
0.036431,21.000000
0.023261,21.000000
0.023217,21.000000
0.069883,21.000000
0.069786,21.000000
0.079080,21.000000
0.078978,21.000000
0.037906,21.000000
0.052252,21.000000
0.052182,21.000000
0.052112,21.000000
0.019321,21.000000
0.019281,21.000000
0.019242,21.000000
0.024708,21.000000
0.074136,21.000000
0.074039,21.000000
0.090322,21.000000
0.090214,21.000000
0.058738,21.000000
0.047626,21.000000
0.047559,21.000000
0.047492,21.000000
0.040318,21.000000
0.018808,21.000000
0.018772,21.000000
0.027659,21.000000
0.027614,21.000000
0.085744,21.000000
0.067618,21.000000
0.067525,21.000000
0.067432,21.000000
0.055749,21.000000
0.044977,21.000000
0.044907,21.000000
0.044836,21.000000
0.024259,21.000000
